Lattitude,Longitude,SubStation_Name,Capacity
27.1797851,95.105535,Rajgarh S/S,10
27.2369321,95.164941,Tingkhong S/S,10
27.5034701,95.18658,Chabua S/S,7.5
27.3771785,95.1881149,Tengakhat S/S,5.65
27.0949001,95.207901,Salkathoni SS,15
27.8341201,95.21806,Jonai S/S,7.5
27.1247231,95.256841,Borhat SS,10
27.5458801,95.26305,Dinjan S/S,10
27.3303641,95.315164,Tipling S/S,10
27.4020631,95.325674,Bordubi S/S,7.5
27.2818041,95.328087,Naharkatia S/S,15
27.5085001,95.32935,Borguri S/S,10
27.4965401,95.36373,Parbatia S/S,30
27.4838801,95.37758,Hukan Pikhuri S/S,20
27.1864001,95.378136,Namrup new S/S,7.5
27.2568401,95.403798,Joypore S/S,2.5
27.2998971,95.420872,Bhadoi - Pasali S/S,10
27.5047701,95.42346,Makum S/S,13.15
27.5684701,95.56127,Doom Dooma S/S,23.15
27.6687701,95.5653,Talap S/S,5
27.5980001,95.56727,Rupai S/S,10
27.3941001,95.59391,Digboi S/S,10
27.618657,95.6552615,Kakopothar S/S,10
27.2989301,95.66137,Margherita S/S,20
27.2990001,95.72972,Ledo S/S,10
27.9194901,95.76353,Chapakhuwa S/S,5
27.4234201,95.76468,Pengree S/S,10
27.3141401,95.8032,Lekhapani S/S,10
27.8496201,95.88535,Sunpura S/S,2.5
27.3712501,95.89569,Jagun S/S,10
